"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
531263,"JDT","UI","noopur_gupta","RESOLVED","WORKSFORME","[10] Compliance level not set to 10 for a Java Project created with Java 10 JDK","2018-03-19 06:46:51"
473650,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Push down method refactoring removes a method","2015-08-17 19:36:52"
547582,"JDT","Core","manpalat","RESOLVED","WORKSFORME","XLargeTest.testBug519070 failue due to memory issue","2019-08-27 00:47:33"
534483,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","Not generating toString method","2019-04-25 07:50:38"
509999,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[organize imports] UI freeze during organize imports save action","2017-04-19 11:26:35"
553329,"JDT","Core","stephan.herrmann","RESOLVED","WORKSFORME","The application can't install on my computer","2019-11-26 17:49:14"
536786,"JDT","Text","jdt-text-inbox","RESOLVED","WORKSFORME","[projection] Code folding not working properly","2018-07-10 10:37:29"
514729,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[open type] Open Type continues to show ""Initializing search index (50%)","2017-04-05 10:54:00"
482413,"JDT","Core","jdt-core-inbox","CLOSED","WORKSFORME","[formatter] Erroneous formatting for left curly brace on line wrap","2015-11-18 17:14:00"
458211,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[quick fix] ""create method"" proposal missing when generic type argument involved","2015-03-30 07:25:39"
540484,"JDT","UI","stephan.herrmann","RESOLVED","WORKSFORME","Lots of class not found exception if I start a runtime Eclipse with jdt.core","2019-09-24 18:39:08"
487850,"JDT","Core","sasikanth.bharadwaj","RESOLVED","WORKSFORME","[9] Delay initialization of IModuleLocation until a build is requested","2017-10-09 18:19:47"
464982,"JDT","UI","mistria","CLOSED","WORKSFORME","Project Explorer mixes resource and java source presentation","2017-03-22 07:09:34"
544240,"JDT","Core","jdt-core-inbox","RESOLVED","WORKSFORME","[12] Wrong error message: Case Labels with '->' is a preview feature","2019-02-08 03:47:58"
526063,"JDT","Debug","jdt-debug-inbox","RESOLVED","WORKSFORME","NoSuchFileException while using JRE during launch","2018-02-14 10:40:08"
495375,"JDT","UI","noopur_gupta","RESOLVED","WORKSFORME","[call hierarchy] Changing search scope to working set removes all entries","2016-06-21 01:11:00"
469585,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","[pull up] AssertionFailedException in TypeVariableUtil.signaturesToParameters (313)","2015-06-08 04:19:30"
531272,"JDT","UI","stephan.herrmann","RESOLVED","WORKSFORME","Auto complete should propose ""ArrayList<>()""","2018-02-17 09:45:41"
473922,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Move Field Refactoring results in compilation error","2015-08-05 04:27:22"
547586,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Javadoc mismatch, not case sensitive","2019-05-29 11:50:16"
510018,"JDT","UI","stephan.herrmann","RESOLVED","WORKSFORME","Content Assist crashed","2017-01-20 16:29:46"
478350,"JDT","UI","markus.kell.r","RESOLVED","WORKSFORME","[infer type arguments] Throws internal error when processing diamond","2016-04-21 12:38:30"
553612,"JDT","UI","noopur_gupta","RESOLVED","WORKSFORME","JUnit view show wrong icons for horizontal and vertical layout (they are flipped)","2019-11-29 17:29:17"
536921,"JDT","UI","jdt-ui-inbox","RESOLVED","WORKSFORME","Workspace unstartable due to Display call not on main thread","2018-12-21 08:20:24"
